Filename,AI_Percentage,AI_Word_Count
0.txt,1.1789924973204717,11
1.txt,0.23696682464454977,2
10.txt,0.0,0
100.txt,0.0,0
1000.txt,0.5390835579514826,2
1002.txt,0.12048192771084339,2
1003.txt,0.11761246692149367,4
1004.txt,8.305084745762711,49
1005.txt,0.0,0
1007.txt,0.0,0
1008.txt,0.75,3
1009.txt,0.2583979328165375,1
101.txt,0.0,0
1010.txt,0.0,0
1011.txt,0.0,0
1012.txt,0.0,0
1013.txt,6.666666666666667,2
1014.txt,16.666666666666664,4
1015.txt,0.0,0
1016.txt,0.0,0
1017.txt,0.2544529262086514,1
1019.txt,0.0,0
102.txt,0.0,0
1020.txt,4.320987654320987,42
1021.txt,0.38167938931297707,1
1023.txt,3.6036036036036037,4
1024.txt,3.429147755925366,68
1026.txt,0.5605381165919282,5
1027.txt,0.0,0
1028.txt,0.0,0
1029.txt,0.0,0
103.txt,0.5882352941176471,3
1030.txt,0.0,0
1031.txt,0.0,0
1033.txt,2.1487603305785123,13
1034.txt,0.33003300330033003,1
1035.txt,0.0,0
1036.txt,0.0,0
1038.txt,0.1631321370309951,1
1039.txt,0.19409937888198758,5
104.txt,0.0,0
1040.txt,0.0,0
1041.txt,0.0,0
1043.txt,0.0,0
1044.txt,0.04014452027298274,3
1045.txt,6.8181818181818175,3
1046.txt,2.2082018927444795,21
1048.txt,0.0,0
1049.txt,1.3636363636363635,3
105.txt,3.2128514056224895,8
1050.txt,0.7625272331154684,7
1051.txt,1.7094017094017095,6
1052.txt,2.5906735751295336,10
1053.txt,0.7343941248470013,6
1054.txt,0.0,0
1055.txt,0.0,0
1056.txt,2.8129395218002813,20
1057.txt,0.9411764705882352,4
1058.txt,0.0,0
106.txt,0.0,0
1060.txt,4.543802253725918,125
1061.txt,0.0,0
1062.txt,1.25,12
1064.txt,8.333333333333332,1
1065.txt,5.797101449275362,28
1066.txt,0.3597122302158274,1
1067.txt,0.0,0
1068.txt,0.0,0
1069.txt,1.291248206599713,9
107.txt,0.0,0
1070.txt,0.5037783375314862,2
1071.txt,1.8072289156626504,3
1072.txt,0.0,0
1073.txt,3.7037037037037033,14
1074.txt,0.0,0
1076.txt,0.84985835694051,3
1078.txt,3.7650602409638556,25
1079.txt,1.282051282051282,5
108.txt,4.123711340206185,4
1080.txt,3.1073446327683616,11
1081.txt,0.26007802340702213,2
1082.txt,0.0,0
1083.txt,0.2560567264132362,13
1084.txt,0.0,0
1085.txt,2.371541501976284,6
1086.txt,1.5673981191222568,5
1088.txt,0.0,0
109.txt,1.9650655021834063,9
1090.txt,0.7978723404255319,3
1091.txt,0.19175455417066153,2
1092.txt,0.40373454453696694,32
1093.txt,0.0,0
1094.txt,3.133393017009848,35
1095.txt,1.1282051282051282,11
1096.txt,0.2008032128514056,1
1097.txt,0.1221001221001221,1
1098.txt,0.1724137931034483,1
1099.txt,0.0,0
11.txt,0.0,0
110.txt,0.0,0
1100.txt,0.15600624024961,1
1101.txt,0.0,0
1102.txt,0.0,0
1103.txt,0.0,0
1104.txt,0.5076142131979695,1
1105.txt,0.0,0
1106.txt,0.24509803921568626,1
1107.txt,2.734375,28
1109.txt,0.0,0
111.txt,0.0,0
1111.txt,0.11376564277588168,2
1112.txt,0.0,0
1113.txt,0.0,0
1114.txt,0.0,0
1115.txt,0.9592326139088728,12
1117.txt,0.0,0
1118.txt,0.7246376811594203,1
1119.txt,2.9914529914529915,7
112.txt,0.6521739130434783,3
1121.txt,0.0,0
1124.txt,0.11312217194570137,1
1125.txt,0.017415534656913968,1
1126.txt,3.398259428097804,82
1127.txt,1.477832512315271,6
1128.txt,0.0,0
1129.txt,0.0,0
113.txt,0.1798561151079137,1
1130.txt,2.0348837209302326,7
1131.txt,0.0,0
1133.txt,5.074875207986689,61
1134.txt,0.0,0
1136.txt,0.4454342984409799,2
1137.txt,0.0,0
1139.txt,1.7857142857142856,2
114.txt,3.4482758620689653,2
1140.txt,0.0,0
1141.txt,0.17006802721088435,2
1143.txt,0.24813895781637718,2
1145.txt,7.065217391304348,39
1148.txt,0.0,0
1149.txt,0.546448087431694,1
115.txt,0.0670690811535882,1
1150.txt,0.0,0
1151.txt,2.5196850393700787,32
1153.txt,0.2570694087403599,2
1154.txt,0.4016064257028112,1
1155.txt,0.7504690431519699,8
1156.txt,0.31282586027111575,3
1157.txt,0.0,0
1158.txt,2.91005291005291,11
1159.txt,0.0,0
116.txt,0.0,0
1160.txt,9.803921568627452,5
1162.txt,6.077348066298343,11
1164.txt,0.5420054200542005,4
1166.txt,0.0,0
1167.txt,0.0,0
117.txt,1.5384615384615385,7
1170.txt,0.53475935828877,9
1172.txt,0.0,0
1174.txt,0.0,0
1175.txt,2.738095238095238,23
1176.txt,5.442176870748299,8
1178.txt,1.6181229773462782,5
1179.txt,0.0,0
118.txt,5.386416861826698,46
1182.txt,0.0,0
1184.txt,1.0482180293501049,5
1185.txt,0.0,0
1186.txt,0.0,0
1187.txt,9.266409266409266,24
1188.txt,0.0,0
1189.txt,1.3071895424836601,2
119.txt,0.0,0
1190.txt,0.0,0
1191.txt,0.0,0
1193.txt,9.090909090909092,1
1194.txt,0.0,0
1196.txt,6.933333333333333,52
1197.txt,0.0,0
1199.txt,0.0,0
12.txt,0.6521739130434783,6
120.txt,10.416666666666668,10
1200.txt,0.3067484662576687,2
1201.txt,0.0,0
1202.txt,0.0,0
1203.txt,0.13568521031207598,1
1204.txt,0.0,0
1206.txt,0.0,0
1208.txt,6.823027718550106,32
1209.txt,0.14943960149439603,6
1210.txt,0.0,0
1211.txt,0.24875621890547264,1
1212.txt,3.252710592160134,39
1213.txt,4.623513870541611,35
1215.txt,0.0,0
1216.txt,0.17452006980802792,1
1217.txt,0.09861932938856016,1
1218.txt,2.857142857142857,4
1222.txt,1.2658227848101267,2
1223.txt,0.0,0
1224.txt,0.19815059445178335,3
1226.txt,0.0,0
1227.txt,0.0,0
1228.txt,0.0,0
1229.txt,1.8018018018018018,2
123.txt,0.19569471624266144,1
1230.txt,6.666666666666667,1
1231.txt,0.3214465092918132,32
1232.txt,0.0,0
1233.txt,6.779661016949152,28
1234.txt,0.0,0
