Folder,Mean_AI_Density,LDA_Coherence,BERTopic_Topics,Total_Docs
Part 1,1.206465202941305,0.5888564086929906,2,4370
Part 2,1.2916343504822367,0.531083796242799,2,4015
Part 3,1.247844057946467,0.574500709762405,2,4359
Part 4,1.269423904088012,0.5166166187043424,2,4396
