Folder,Total Files,Avg AI %,% Files w/ AI
Part 1,4370,1.1985196143321006,58.67276887871854
Part 2,4015,1.2916343504822367,61.29514321295143
Part 3,4359,1.242017761686585,60.93140628584538
Part 4,4396,1.2550258943533328,60.05459508644222
